"Step","deep-snowflake-239 - test reward","deep-snowflake-239 - test reward__MIN","deep-snowflake-239 - test reward__MAX","prime-meadow-233 - test reward","prime-meadow-233 - test reward__MIN","prime-meadow-233 - test reward__MAX","graceful-dew-219 - test reward","graceful-dew-219 - test reward__MIN","graceful-dew-219 - test reward__MAX"
"5","","","","21.329259457504982","21.329259457504982","21.329259457504982","17.7893717386033","17.7893717386033","17.7893717386033"
"7","20.6458271763917","20.6458271763917","20.6458271763917","","","","","",""
"48","","","","17.86610217582786","17.86610217582786","17.86610217582786","17.582850324046017","17.582850324046017","17.582850324046017"
"70","17.412372253959425","17.412372253959425","17.412372253959425","","","","","",""
"90","","","","19.58312975277297","19.58312975277297","19.58312975277297","18.022997828215114","18.022997828215114","18.022997828215114"
"132","56.53861550299344","56.53861550299344","56.53861550299344","17.847761986486173","17.847761986486173","17.847761986486173","24.02236115723204","24.02236115723204","24.02236115723204"
"174","","","","99.40716954855291","99.40716954855291","99.40716954855291","18.958738607907954","18.958738607907954","18.958738607907954"
"194","136.93487869736296","136.93487869736296","136.93487869736296","","","","","",""
"216","","","","20.35268462281558","20.35268462281558","20.35268462281558","21.399456490133197","21.399456490133197","21.399456490133197"
"256","189.88352487798983","189.88352487798983","189.88352487798983","","","","","",""
"258","","","","18.673874835903092","18.673874835903092","18.673874835903092","160.9509360821788","160.9509360821788","160.9509360821788"
"300","","","","106.01115072956027","106.01115072956027","106.01115072956027","55.40640188420556","55.40640188420556","55.40640188420556"
"318","229.82089934661252","229.82089934661252","229.82089934661252","","","","","",""
"342","","","","134.13755184778506","134.13755184778506","134.13755184778506","178.9801467545878","178.9801467545878","178.9801467545878"
"380","55.84474084273246","55.84474084273246","55.84474084273246","","","","","",""
"384","","","","190.46579269767741","190.46579269767741","190.46579269767741","139.10060493772747","139.10060493772747","139.10060493772747"
"426","","","","99.83977639452416","99.83977639452416","99.83977639452416","57.47587711008714","57.47587711008714","57.47587711008714"
"442","233.35286397583576","233.35286397583576","233.35286397583576","","","","","",""
"468","","","","58.35546364059731","58.35546364059731","58.35546364059731","95.92138732823362","95.92138732823362","95.92138732823362"
"504","188.98624207964525","188.98624207964525","188.98624207964525","","","","","",""
"510","","","","98.64769869087263","98.64769869087263","98.64769869087263","142.3794172025561","142.3794172025561","142.3794172025561"
"552","","","","184.84439800269283","184.84439800269283","184.84439800269283","104.25169111864791","104.25169111864791","104.25169111864791"
"566","232.0801347142416","232.0801347142416","232.0801347142416","","","","","",""
"594","","","","233.0537937495482","233.0537937495482","233.0537937495482","188.58734231528237","188.58734231528237","188.58734231528237"
"628","277.0875444866538","277.0875444866538","277.0875444866538","","","","","",""
"636","","","","103.17428061267849","103.17428061267849","103.17428061267849","103.71369148540707","103.71369148540707","103.71369148540707"
"678","","","","100.06871382696525","100.06871382696525","100.06871382696525","272.69465249960007","272.69465249960007","272.69465249960007"
"690","108.62988803785716","108.62988803785716","108.62988803785716","","","","","",""
"720","","","","144.8173286933309","144.8173286933309","144.8173286933309","105.06210669500365","105.06210669500365","105.06210669500365"
"752","316.8284394265378","316.8284394265378","316.8284394265378","","","","","",""
"762","","","","190.8113145694443","190.8113145694443","190.8113145694443","101.32743580479205","101.32743580479205","101.32743580479205"
"804","","","","276.0696627204301","276.0696627204301","276.0696627204301","152.72178008643954","152.72178008643954","152.72178008643954"
"814","318.3419367691351","318.3419367691351","318.3419367691351","","","","","",""
"848","","","","361.9282805822147","361.9282805822147","361.9282805822147","153.8750872764466","153.8750872764466","153.8750872764466"
"876","186.93432847618206","186.93432847618206","186.93432847618206","","","","","",""
"890","","","","188.28167798210754","188.28167798210754","188.28167798210754","189.33791655382777","189.33791655382777","189.33791655382777"
"932","","","","270.6413286466165","270.6413286466165","270.6413286466165","274.73086241932685","274.73086241932685","274.73086241932685"
"938","274.1960067916702","274.1960067916702","274.1960067916702","","","","","",""
"974","","","","272.3829137107346","272.3829137107346","272.3829137107346","147.84496049983915","147.84496049983915","147.84496049983915"
"1000","362.2982737829699","362.2982737829699","362.2982737829699","","","","","",""
"1016","","","","191.18840075278","191.18840075278","191.18840075278","273.0044856079744","273.0044856079744","273.0044856079744"
"1058","","","","313.5730088016234","313.5730088016234","313.5730088016234","189.08343794646427","189.08343794646427","189.08343794646427"
"1062","356.8865440215779","356.8865440215779","356.8865440215779","","","","","",""
"1100","","","","191.83926389149383","191.83926389149383","191.83926389149383","359.6200267851535","359.6200267851535","359.6200267851535"
"1124","152.46468810435087","152.46468810435087","152.46468810435087","","","","","",""
"1142","","","","104.01995371214291","104.01995371214291","104.01995371214291","272.33133427571096","272.33133427571096","272.33133427571096"
"1184","","","","147.80919397625127","147.80919397625127","147.80919397625127","98.65681844613327","98.65681844613327","98.65681844613327"
"1186","317.7336879898381","317.7336879898381","317.7336879898381","","","","","",""
"1226","","","","230.35494578399434","230.35494578399434","230.35494578399434","359.5697873866757","359.5697873866757","359.5697873866757"
"1250","190.78982003340388","190.78982003340388","190.78982003340388","","","","","",""
"1270","","","","184.21233100120108","184.21233100120108","184.21233100120108","144.12291245710145","144.12291245710145","144.12291245710145"
"1312","189.77206399207373","189.77206399207373","189.77206399207373","61.105003722889975","61.105003722889975","61.105003722889975","103.79571906154119","103.79571906154119","103.79571906154119"
"1354","","","","192.30548640907304","192.30548640907304","192.30548640907304","197.26304782812974","197.26304782812974","197.26304782812974"
"1374","230.80819255920787","230.80819255920787","230.80819255920787","","","","","",""
"1396","","","","361.65535091597025","361.65535091597025","361.65535091597025","230.9375345772768","230.9375345772768","230.9375345772768"
"1436","148.08746026456012","148.08746026456012","148.08746026456012","","","","","",""
"1438","","","","271.88497119039016","271.88497119039016","271.88497119039016","100.0932267246958","100.0932267246958","100.0932267246958"
"1480","","","","320.12577281961023","320.12577281961023","320.12577281961023","272.1435836878644","272.1435836878644","272.1435836878644"
"1498","271.5737715004248","271.5737715004248","271.5737715004248","","","","","",""
"1522","","","","318.36734973683156","318.36734973683156","318.36734973683156","195.68803006093776","195.68803006093776","195.68803006093776"
"1560","146.15020366564323","146.15020366564323","146.15020366564323","","","","","",""
"1564","","","","274.07886629175044","274.07886629175044","274.07886629175044","365.46730879979657","365.46730879979657","365.46730879979657"
"1606","","","","145.52772918494833","145.52772918494833","145.52772918494833","185.77809063745738","185.77809063745738","185.77809063745738"
"1622","313.6099785440933","313.6099785440933","313.6099785440933","","","","","",""
"1648","","","","146.46745736598038","146.46745736598038","146.46745736598038","105.09182760408696","105.09182760408696","105.09182760408696"
"1684","317.6038675671289","317.6038675671289","317.6038675671289","","","","","",""
"1692","","","","275.410915727682","275.410915727682","275.410915727682","447.33503414800816","447.33503414800816","447.33503414800816"
"1734","","","","316.788670129328","316.788670129328","316.788670129328","186.54124651237973","186.54124651237973","186.54124651237973"
"1746","100.69568336573346","100.69568336573346","100.69568336573346","","","","","",""
"1776","","","","103.93457279861491","103.93457279861491","103.93457279861491","142.83290310263268","142.83290310263268","142.83290310263268"
"1808","270.7289306097831","270.7289306097831","270.7289306097831","","","","","",""
"1818","","","","322.4331796108624","322.4331796108624","322.4331796108624","195.356435335889","195.356435335889","195.356435335889"
"1860","","","","239.90818209806457","239.90818209806457","239.90818209806457","238.255746729235","238.255746729235","238.255746729235"
"1872","448.5213250599976","448.5213250599976","448.5213250599976","","","","","",""
"1902","","","","187.92371785925508","187.92371785925508","187.92371785925508","189.57184150513677","189.57184150513677","189.57184150513677"
"1934","273.27298739209857","273.27298739209857","273.27298739209857","","","","","",""
"1944","","","","322.3303362408686","322.3303362408686","322.3303362408686","98.66777220876666","98.66777220876666","98.66777220876666"
"1986","","","","230.36576793386615","230.36576793386615","230.36576793386615","273.6612744877596","273.6612744877596","273.6612744877596"
"1996","232.76631229403515","232.76631229403515","232.76631229403515","","","","","",""
"2028","","","","274.40352750080854","274.40352750080854","274.40352750080854","273.6293831460056","273.6293831460056","273.6293831460056"
"2058","533.955884350107","533.955884350107","533.955884350107","","","","","",""
"2070","","","","107.28294047712339","107.28294047712339","107.28294047712339","148.04484822475484","148.04484822475484","148.04484822475484"
"2120","318.3191926778187","318.3191926778187","318.3191926778187","","","","","",""
"2182","364.68071806894557","364.68071806894557","364.68071806894557","","","","","",""
"2244","272.55701041075025","272.55701041075025","272.55701041075025","","","","","",""
"2306","408.4991442019944","408.4991442019944","408.4991442019944","","","","","",""
"2368","233.2318218926022","233.2318218926022","233.2318218926022","","","","","",""
"2430","230.85237973425689","230.85237973425689","230.85237973425689","","","","","",""
"2494","272.0716081505705","272.0716081505705","272.0716081505705","","","","","",""
"2556","275.49288841286415","275.49288841286415","275.49288841286415","","","","","",""
"2618","281.23670301354935","281.23670301354935","281.23670301354935","","","","","",""
"2680","276.0376214259421","276.0376214259421","276.0376214259421","","","","","",""
"2742","274.61355303023726","274.61355303023726","274.61355303023726","","","","","",""
"2804","234.82258529130587","234.82258529130587","234.82258529130587","","","","","",""
"2866","408.106612843196","408.106612843196","408.106612843196","","","","","",""
"2928","278.10826762042325","278.10826762042325","278.10826762042325","","","","","",""
"2990","285.17222654543656","285.17222654543656","285.17222654543656","","","","","",""
"3052","233.97492499387312","233.97492499387312","233.97492499387312","","","","","",""