"global_step","cerulean-cosmos-20 - _step","cerulean-cosmos-20 - _step__MIN","cerulean-cosmos-20 - _step__MAX","cerulean-cosmos-20 - test/returns_stat/mean","cerulean-cosmos-20 - test/returns_stat/mean__MIN","cerulean-cosmos-20 - test/returns_stat/mean__MAX","fluent-brook-15 - _step","fluent-brook-15 - _step__MIN","fluent-brook-15 - _step__MAX","fluent-brook-15 - test/returns_stat/mean","fluent-brook-15 - test/returns_stat/mean__MIN","fluent-brook-15 - test/returns_stat/mean__MAX"
"0","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961","1","1","1","36.37081527709961","36.37081527709961","36.37081527709961"
"9999","11","11","11","32.565189361572266","32.565189361572266","32.565189361572266","12","12","12","33.57054138183594","33.57054138183594","33.57054138183594"
"19999","22","22","22","38.48824691772461","38.48824691772461","38.48824691772461","23","23","23","36.11903381347656","36.11903381347656","36.11903381347656"
"29999","33","33","33","43.994781494140625","43.994781494140625","43.994781494140625","34","34","34","32.908164978027344","32.908164978027344","32.908164978027344"
"39999","44","44","44","23.389360427856445","23.389360427856445","23.389360427856445","45","45","45","41.27996063232422","41.27996063232422","41.27996063232422"
"49999","54","54","54","45.497230529785156","45.497230529785156","45.497230529785156","55","55","55","30.567428588867188","30.567428588867188","30.567428588867188"
"59999","64","64","64","34.52236557006836","34.52236557006836","34.52236557006836","65","65","65","38.88045883178711","38.88045883178711","38.88045883178711"
"69999","74","74","74","40.901634216308594","40.901634216308594","40.901634216308594","76","76","76","44.27109909057617","44.27109909057617","44.27109909057617"
"79999","85","85","85","38.391963958740234","38.391963958740234","38.391963958740234","87","87","87","30.905351638793945","30.905351638793945","30.905351638793945"
"89999","96","96","96","38.84065628051758","38.84065628051758","38.84065628051758","98","98","98","39.9940299987793","39.9940299987793","39.9940299987793"
"99999","107","107","107","42.85576629638672","42.85576629638672","42.85576629638672","109","109","109","46.61315155029297","46.61315155029297","46.61315155029297"
"109999","117","117","117","38.68447494506836","38.68447494506836","38.68447494506836","119","119","119","41.30663299560547","41.30663299560547","41.30663299560547"
"119999","127","127","127","41.63416290283203","41.63416290283203","41.63416290283203","129","129","129","40.39086151123047","40.39086151123047","40.39086151123047"
"129999","138","138","138","34.81034851074219","34.81034851074219","34.81034851074219","139","139","139","42.097320556640625","42.097320556640625","42.097320556640625"
"139999","149","149","149","45.41944885253906","45.41944885253906","45.41944885253906","150","150","150","38.549957275390625","38.549957275390625","38.549957275390625"
"149999","160","160","160","36.903812408447266","36.903812408447266","36.903812408447266","161","161","161","49.145294189453125","49.145294189453125","49.145294189453125"
"159999","171","171","171","45.2235107421875","45.2235107421875","45.2235107421875","171","171","171","69.62696838378906","69.62696838378906","69.62696838378906"
"169999","181","181","181","54.13484573364258","54.13484573364258","54.13484573364258","181","181","181","45.92930603027344","45.92930603027344","45.92930603027344"
"179999","192","192","192","39.10942077636719","39.10942077636719","39.10942077636719","192","192","192","60.66773986816406","60.66773986816406","60.66773986816406"
"189999","202","202","202","69.58323669433594","69.58323669433594","69.58323669433594","202","202","202","63.287960052490234","63.287960052490234","63.287960052490234"
"199999","213","213","213","54.60533142089844","54.60533142089844","54.60533142089844","212","212","212","63.82127380371094","63.82127380371094","63.82127380371094"
"209999","224","224","224","52.22032928466797","52.22032928466797","52.22032928466797","223","223","223","60.87492752075195","60.87492752075195","60.87492752075195"
"219999","234","234","234","60.7131462097168","60.7131462097168","60.7131462097168","235","235","235","60.3192024230957","60.3192024230957","60.3192024230957"
"229999","245","245","245","59.58928298950195","59.58928298950195","59.58928298950195","245","245","245","108.55660247802734","108.55660247802734","108.55660247802734"
"239999","255","255","255","50.25727462768555","50.25727462768555","50.25727462768555","256","256","256","41.01041030883789","41.01041030883789","41.01041030883789"
"249999","265","265","265","64.82624053955078","64.82624053955078","64.82624053955078","266","266","266","103.2932357788086","103.2932357788086","103.2932357788086"
"259999","276","276","276","59.74347686767578","59.74347686767578","59.74347686767578","276","276","276","143.0574951171875","143.0574951171875","143.0574951171875"
"269999","287","287","287","58.30696105957031","58.30696105957031","58.30696105957031","286","286","286","40.55763626098633","40.55763626098633","40.55763626098633"
"279999","297","297","297","97.00082397460938","97.00082397460938","97.00082397460938","296","296","296","366.9571533203125","366.9571533203125","366.9571533203125"
"289999","307","307","307","127.31122589111328","127.31122589111328","127.31122589111328","306","306","306","191.02638244628906","191.02638244628906","191.02638244628906"
"299999","317","317","317","132.96875","132.96875","132.96875","316","316","316","155.26022338867188","155.26022338867188","155.26022338867188"
"309999","327","327","327","99.72077178955078","99.72077178955078","99.72077178955078","326","326","326","202.762939453125","202.762939453125","202.762939453125"
"319999","338","338","338","170.92526245117188","170.92526245117188","170.92526245117188","336","336","336","274.6356201171875","274.6356201171875","274.6356201171875"
"329999","348","348","348","77.3281478881836","77.3281478881836","77.3281478881836","346","346","346","121.69286346435547","121.69286346435547","121.69286346435547"
"339999","359","359","359","226.47274780273438","226.47274780273438","226.47274780273438","356","356","356","278.9335021972656","278.9335021972656","278.9335021972656"
"349999","369","369","369","156.31268310546875","156.31268310546875","156.31268310546875","367","367","367","401.4350891113281","401.4350891113281","401.4350891113281"
"359999","380","380","380","209.0634765625","209.0634765625","209.0634765625","377","377","377","206.41671752929688","206.41671752929688","206.41671752929688"
"369999","390","390","390","99.68455505371094","99.68455505371094","99.68455505371094","388","388","388","358.9802551269531","358.9802551269531","358.9802551269531"
"379999","400","400","400","251.39186096191406","251.39186096191406","251.39186096191406","398","398","398","355.10101318359375","355.10101318359375","355.10101318359375"
"389999","410","410","410","356.92120361328125","356.92120361328125","356.92120361328125","408","408","408","265.6622314453125","265.6622314453125","265.6622314453125"
"399999","420","420","420","449.9580383300781","449.9580383300781","449.9580383300781","418","418","418","303.03302001953125","303.03302001953125","303.03302001953125"
"409999","430","430","430","305.8521728515625","305.8521728515625","305.8521728515625","429","429","429","294.0157775878906","294.0157775878906","294.0157775878906"
"419999","440","440","440","356.2409362792969","356.2409362792969","356.2409362792969","439","439","439","313.7804260253906","313.7804260253906","313.7804260253906"
"429999","450","450","450","218.78298950195312","218.78298950195312","218.78298950195312","450","450","450","407.0087585449219","407.0087585449219","407.0087585449219"
"439999","461","461","461","312.71746826171875","312.71746826171875","312.71746826171875","460","460","460","219.9409637451172","219.9409637451172","219.9409637451172"
"449999","471","471","471","123.73023223876953","123.73023223876953","123.73023223876953","470","470","470","355.0153503417969","355.0153503417969","355.0153503417969"
"459999","482","482","482","256.61712646484375","256.61712646484375","256.61712646484375","480","480","480","311.4745178222656","311.4745178222656","311.4745178222656"
"469999","492","492","492","260.5699157714844","260.5699157714844","260.5699157714844","492","492","492","221.20062255859375","221.20062255859375","221.20062255859375"
"479999","502","502","502","311.520263671875","311.520263671875","311.520263671875","503","503","503","262.6831970214844","262.6831970214844","262.6831970214844"
"489999","513","513","513","262.4376525878906","262.4376525878906","262.4376525878906","513","513","513","308.9863586425781","308.9863586425781","308.9863586425781"
"499999","524","524","524","447.7300109863281","447.7300109863281","447.7300109863281","524","524","524","354.1688537597656","354.1688537597656","354.1688537597656"