"Step","RNN_SAC - test/returns_stat/mean","RNN_SAC - test/returns_stat/mean__MIN","RNN_SAC - test/returns_stat/mean__MAX"
"0","18.88774871826172","18.88774871826172","18.88774871826172"
"30","28.597280502319336","28.597280502319336","28.597280502319336"
"59","34.40176010131836","34.40176010131836","34.40176010131836"
"90","37.97001647949219","37.97001647949219","37.97001647949219"
"119","38.99013900756836","38.99013900756836","38.99013900756836"
"149","28.77680206298828","28.77680206298828","28.77680206298828"
"179","26.95194435119629","26.95194435119629","26.95194435119629"
"210","32.010284423828125","32.010284423828125","32.010284423828125"
"239","31.709697723388672","31.709697723388672","31.709697723388672"
"269","40.94057083129883","40.94057083129883","40.94057083129883"
"300","38.13520050048828","38.13520050048828","38.13520050048828"
"329","31.242639541625977","31.242639541625977","31.242639541625977"
"359","28.484045028686523","28.484045028686523","28.484045028686523"
"389","35.80552291870117","35.80552291870117","35.80552291870117"
"419","36.317161560058594","36.317161560058594","36.317161560058594"
"448","34.992610931396484","34.992610931396484","34.992610931396484"
"478","40.472164154052734","40.472164154052734","40.472164154052734"
"508","32.911903381347656","32.911903381347656","32.911903381347656"
"538","38.39872360229492","38.39872360229492","38.39872360229492"
"568","41.74015426635742","41.74015426635742","41.74015426635742"
"598","37.636512756347656","37.636512756347656","37.636512756347656"
"627","40.83053970336914","40.83053970336914","40.83053970336914"
"656","50.63996124267578","50.63996124267578","50.63996124267578"
"687","44.02421569824219","44.02421569824219","44.02421569824219"
"717","42.41064453125","42.41064453125","42.41064453125"
"747","40.579551696777344","40.579551696777344","40.579551696777344"
"777","37.916748046875","37.916748046875","37.916748046875"
"807","41.283939361572266","41.283939361572266","41.283939361572266"
"838","37.36650848388672","37.36650848388672","37.36650848388672"
"868","38.36514663696289","38.36514663696289","38.36514663696289"
"898","40.90845489501953","40.90845489501953","40.90845489501953"
"927","43.59144592285156","43.59144592285156","43.59144592285156"
"956","29.107227325439453","29.107227325439453","29.107227325439453"
"986","82.67929077148438","82.67929077148438","82.67929077148438"
"1015","45.7567253112793","45.7567253112793","45.7567253112793"
"1044","50.8531608581543","50.8531608581543","50.8531608581543"
"1074","48.23783493041992","48.23783493041992","48.23783493041992"
"1104","41.69097137451172","41.69097137451172","41.69097137451172"
"1133","77.1727523803711","77.1727523803711","77.1727523803711"
"1163","49.116851806640625","49.116851806640625","49.116851806640625"
"1191","42.387142181396484","42.387142181396484","42.387142181396484"
"1221","53.3852653503418","53.3852653503418","53.3852653503418"
"1250","115.65258026123047","115.65258026123047","115.65258026123047"
"1280","168.57717895507812","168.57717895507812","168.57717895507812"
"1310","56.08631896972656","56.08631896972656","56.08631896972656"
"1339","82.53992462158203","82.53992462158203","82.53992462158203"
"1369","81.27400207519531","81.27400207519531","81.27400207519531"
"1398","48.013694763183594","48.013694763183594","48.013694763183594"
"1426","78.96632385253906","78.96632385253906","78.96632385253906"
"1456","61.70051574707031","61.70051574707031","61.70051574707031"
"1484","163.374755859375","163.374755859375","163.374755859375"
"1512","73.93196868896484","73.93196868896484","73.93196868896484"
"1540","153.26380920410156","153.26380920410156","153.26380920410156"
"1570","89.89810943603516","89.89810943603516","89.89810943603516"
"1599","52.85526657104492","52.85526657104492","52.85526657104492"
"1627","78.39575958251953","78.39575958251953","78.39575958251953"
"1657","151.47434997558594","151.47434997558594","151.47434997558594"
"1686","80.5787582397461","80.5787582397461","80.5787582397461"
"1714","52.79531478881836","52.79531478881836","52.79531478881836"
"1741","142.025390625","142.025390625","142.025390625"
"1770","82.46237182617188","82.46237182617188","82.46237182617188"
"1799","198.76693725585938","198.76693725585938","198.76693725585938"
"1828","104.56181335449219","104.56181335449219","104.56181335449219"
"1857","238.2557373046875","238.2557373046875","238.2557373046875"
"1885","146.93600463867188","146.93600463867188","146.93600463867188"
"1914","92.88050842285156","92.88050842285156","92.88050842285156"
"1943","97.19486999511719","97.19486999511719","97.19486999511719"
"1972","110.95226287841797","110.95226287841797","110.95226287841797"
"2000","144.20492553710938","144.20492553710938","144.20492553710938"
"2028","190.5513153076172","190.5513153076172","190.5513153076172"
"2056","251.66455078125","251.66455078125","251.66455078125"
"2084","105.84159088134766","105.84159088134766","105.84159088134766"
"2113","179.24671936035156","179.24671936035156","179.24671936035156"
"2141","173.34738159179688","173.34738159179688","173.34738159179688"
"2167","271.2460021972656","271.2460021972656","271.2460021972656"
"2195","271.5716247558594","271.5716247558594","271.5716247558594"
"2223","253.28892517089844","253.28892517089844","253.28892517089844"
"2251","292.9104919433594","292.9104919433594","292.9104919433594"
"2279","115.95687866210938","115.95687866210938","115.95687866210938"
"2306","151.8784637451172","151.8784637451172","151.8784637451172"