"Step","lemon-pond-42 - test/returns_stat/mean","lemon-pond-42 - test/returns_stat/mean__MIN","lemon-pond-42 - test/returns_stat/mean__MAX","ethereal-dream-41 - test/returns_stat/mean","ethereal-dream-41 - test/returns_stat/mean__MIN","ethereal-dream-41 - test/returns_stat/mean__MAX","glowing-valley-23 - test/returns_stat/mean","glowing-valley-23 - test/returns_stat/mean__MIN","glowing-valley-23 - test/returns_stat/mean__MAX"
"0","42.19171905517578","42.19171905517578","42.19171905517578","33.80219650268555","33.80219650268555","33.80219650268555","30.938749313354492","30.938749313354492","30.938749313354492"
"28","33.773033142089844","33.773033142089844","33.773033142089844","38.534996032714844","38.534996032714844","38.534996032714844","37.69276809692383","37.69276809692383","37.69276809692383"
"59","","","","","","","35.6378288269043","35.6378288269043","35.6378288269043"
"60","41.063655853271484","41.063655853271484","41.063655853271484","38.47084426879883","38.47084426879883","38.47084426879883","","",""
"87","","","","","","","35.84192657470703","35.84192657470703","35.84192657470703"
"88","31.309274673461914","31.309274673461914","31.309274673461914","43.38568878173828","43.38568878173828","43.38568878173828","","",""
"116","","","","27.55683135986328","27.55683135986328","27.55683135986328","","",""
"118","","","","","","","36.405208587646484","36.405208587646484","36.405208587646484"
"119","37.116878509521484","37.116878509521484","37.116878509521484","","","","","",""
"147","","","","42.47898483276367","42.47898483276367","42.47898483276367","37.5019645690918","37.5019645690918","37.5019645690918"
"149","45.624446868896484","45.624446868896484","45.624446868896484","","","","","",""
"174","","","","42.93821334838867","42.93821334838867","42.93821334838867","","",""
"178","49.91755676269531","49.91755676269531","49.91755676269531","","","","40.333763122558594","40.333763122558594","40.333763122558594"
"205","","","","37.870479583740234","37.870479583740234","37.870479583740234","","",""
"207","","","","","","","32.001827239990234","32.001827239990234","32.001827239990234"
"209","68.50373077392578","68.50373077392578","68.50373077392578","","","","","",""
"235","","","","52.88043212890625","52.88043212890625","52.88043212890625","36.08740234375","36.08740234375","36.08740234375"
"236","86.42427062988281","86.42427062988281","86.42427062988281","","","","","",""
"260","558.9489135742188","558.9489135742188","558.9489135742188","","","","","",""
"266","","","","44.11096954345703","44.11096954345703","44.11096954345703","34.70982360839844","34.70982360839844","34.70982360839844"
"285","336.9366149902344","336.9366149902344","336.9366149902344","","","","","",""
"294","","","","","","","38.631927490234375","38.631927490234375","38.631927490234375"
"295","","","","56.37813186645508","56.37813186645508","56.37813186645508","","",""
"311","87.90544891357422","87.90544891357422","87.90544891357422","","","","","",""
"322","","","","389.53851318359375","389.53851318359375","389.53851318359375","","",""
"325","","","","","","","29.982933044433594","29.982933044433594","29.982933044433594"
"339","428.63555908203125","428.63555908203125","428.63555908203125","","","","","",""
"350","","","","604.2750244140625","604.2750244140625","604.2750244140625","","",""
"352","","","","","","","29.021818161010742","29.021818161010742","29.021818161010742"
"368","79.34900665283203","79.34900665283203","79.34900665283203","","","","","",""
"379","","","","136.80088806152344","136.80088806152344","136.80088806152344","","",""
"383","","","","","","","35.709320068359375","35.709320068359375","35.709320068359375"
"397","121.4361801147461","121.4361801147461","121.4361801147461","","","","","",""
"406","","","","84.98827362060547","84.98827362060547","84.98827362060547","","",""
"412","","","","","","","34.59062194824219","34.59062194824219","34.59062194824219"
"425","56.19890213012695","56.19890213012695","56.19890213012695","","","","","",""
"435","","","","99.95561218261719","99.95561218261719","99.95561218261719","","",""
"440","","","","","","","44.784645080566406","44.784645080566406","44.784645080566406"
"456","258.0588073730469","258.0588073730469","258.0588073730469","","","","","",""
"465","","","","126.2657470703125","126.2657470703125","126.2657470703125","","",""
"467","","","","","","","38.572715759277344","38.572715759277344","38.572715759277344"
"484","791.1766357421875","791.1766357421875","791.1766357421875","","","","","",""
"493","","","","91.38246154785156","91.38246154785156","91.38246154785156","","",""
"498","","","","","","","41.926883697509766","41.926883697509766","41.926883697509766"
"509","267.7491455078125","267.7491455078125","267.7491455078125","","","","","",""
"520","","","","150.94027709960938","150.94027709960938","150.94027709960938","","",""
"529","","","","","","","33.45507049560547","33.45507049560547","33.45507049560547"
"537","156.4167938232422","156.4167938232422","156.4167938232422","","","","","",""
"548","","","","84.38471984863281","84.38471984863281","84.38471984863281","","",""
"557","","","","","","","40.60097122192383","40.60097122192383","40.60097122192383"
"564","509.7333984375","509.7333984375","509.7333984375","","","","","",""
"575","","","","195.37144470214844","195.37144470214844","195.37144470214844","","",""
"585","","","","","","","70.1615982055664","70.1615982055664","70.1615982055664"
"592","507.3286437988281","507.3286437988281","507.3286437988281","","","","","",""
"604","","","","384.3065490722656","384.3065490722656","384.3065490722656","","",""
"612","","","","","","","42.06217956542969","42.06217956542969","42.06217956542969"
"617","234.54940795898438","234.54940795898438","234.54940795898438","","","","","",""
"632","","","","84.64374542236328","84.64374542236328","84.64374542236328","","",""
"641","","","","","","","61.42003631591797","61.42003631591797","61.42003631591797"
"643","83.90704345703125","83.90704345703125","83.90704345703125","","","","","",""
"662","","","","263.54156494140625","263.54156494140625","263.54156494140625","","",""
"669","","","","","","","88.4154052734375","88.4154052734375","88.4154052734375"
"672","234.84771728515625","234.84771728515625","234.84771728515625","","","","","",""
"691","","","","","","","608.5253295898438","608.5253295898438","608.5253295898438"
"692","","","","104.99799346923828","104.99799346923828","104.99799346923828","","",""
"700","83.10108947753906","83.10108947753906","83.10108947753906","","","","","",""
"718","","","","","","","75.10986328125","75.10986328125","75.10986328125"
"721","","","","101.59355926513672","101.59355926513672","101.59355926513672","","",""
"729","82.60379028320312","82.60379028320312","82.60379028320312","","","","","",""
"745","","","","","","","88.10523986816406","88.10523986816406","88.10523986816406"
"749","","","","140.95301818847656","140.95301818847656","140.95301818847656","","",""
"757","61.949947357177734","61.949947357177734","61.949947357177734","","","","","",""
"771","","","","","","","348.85894775390625","348.85894775390625","348.85894775390625"
"777","","","","51.643463134765625","51.643463134765625","51.643463134765625","","",""
"786","199.62940979003906","199.62940979003906","199.62940979003906","","","","","",""
"796","","","","","","","427.25567626953125","427.25567626953125","427.25567626953125"
"806","","","","68.92351531982422","68.92351531982422","68.92351531982422","","",""
"813","149.39915466308594","149.39915466308594","149.39915466308594","","","","","",""
"821","","","","","","","598.1918334960938","598.1918334960938","598.1918334960938"
"835","","","","84.95401763916016","84.95401763916016","84.95401763916016","","",""
"842","83.18330383300781","83.18330383300781","83.18330383300781","","","","","",""
"847","","","","","","","88.567138671875","88.567138671875","88.567138671875"
"863","","","","634.003662109375","634.003662109375","634.003662109375","","",""
"869","66.43811798095703","66.43811798095703","66.43811798095703","","","","","",""
"875","","","","","","","102.0528564453125","102.0528564453125","102.0528564453125"
"890","","","","90.5195541381836","90.5195541381836","90.5195541381836","","",""
"895","530.4208374023438","530.4208374023438","530.4208374023438","","","","","",""
"902","","","","","","","117.8746337890625","117.8746337890625","117.8746337890625"
"919","","","","722.2579956054688","722.2579956054688","722.2579956054688","","",""
"920","255.8059539794922","255.8059539794922","255.8059539794922","","","","","",""
"929","","","","","","","65.88431549072266","65.88431549072266","65.88431549072266"
"944","","","","114.3511734008789","114.3511734008789","114.3511734008789","","",""
"949","84.0567855834961","84.0567855834961","84.0567855834961","","","","","",""
"956","","","","","","","333.0659484863281","333.0659484863281","333.0659484863281"
"972","","","","196.8936004638672","196.8936004638672","196.8936004638672","","",""
"978","456.32110595703125","456.32110595703125","456.32110595703125","","","","","",""
"983","","","","","","","551.382568359375","551.382568359375","551.382568359375"
"1000","","","","92.34449768066406","92.34449768066406","92.34449768066406","","",""
"1005","133.48703002929688","133.48703002929688","133.48703002929688","","","","","",""
"1009","","","","","","","140.80104064941406","140.80104064941406","140.80104064941406"
"1025","","","","523.3003540039062","523.3003540039062","523.3003540039062","","",""
"1029","128.8952178955078","128.8952178955078","128.8952178955078","","","","","",""
"1035","","","","","","","352.5673522949219","352.5673522949219","352.5673522949219"
"1051","","","","460.3137512207031","460.3137512207031","460.3137512207031","","",""
"1059","289.05999755859375","289.05999755859375","289.05999755859375","","","","","",""
"1062","","","","","","","63.354068756103516","63.354068756103516","63.354068756103516"
"1076","","","","82.01356506347656","82.01356506347656","82.01356506347656","","",""
"1086","108.55197143554688","108.55197143554688","108.55197143554688","","","","","",""
"1089","","","","","","","891.8638916015625","891.8638916015625","891.8638916015625"
"1101","","","","696.5623779296875","696.5623779296875","696.5623779296875","","",""
"1107","","","","","","","705.1818237304688","705.1818237304688","705.1818237304688"
"1113","91.96358489990234","91.96358489990234","91.96358489990234","","","","","",""
"1123","","","","705.9815673828125","705.9815673828125","705.9815673828125","","",""
"1132","","","","","","","704.5490112304688","704.5490112304688","704.5490112304688"
"1142","240.10365295410156","240.10365295410156","240.10365295410156","","","","","",""
"1143","","","","546.3024291992188","546.3024291992188","546.3024291992188","","",""
"1151","","","","","","","167.4766845703125","167.4766845703125","167.4766845703125"
"1169","226.84823608398438","226.84823608398438","226.84823608398438","","","","","",""
"1175","","","","","","","613.179931640625","613.179931640625","613.179931640625"
"1194","153.03904724121094","153.03904724121094","153.03904724121094","","","","","",""
"1196","","","","","","","513.029296875","513.029296875","513.029296875"
"1220","","","","","","","701.9969482421875","701.9969482421875","701.9969482421875"
"1222","687.5559692382812","687.5559692382812","687.5559692382812","","","","","",""
"1245","","","","","","","65.84358978271484","65.84358978271484","65.84358978271484"
"1250","256.3839111328125","256.3839111328125","256.3839111328125","","","","","",""
"1270","","","","","","","411.3836669921875","411.3836669921875","411.3836669921875"
"1276","105.77987670898438","105.77987670898438","105.77987670898438","","","","","",""
"1296","","","","","","","60.758384704589844","60.758384704589844","60.758384704589844"
"1302","993.3863525390625","993.3863525390625","993.3863525390625","","","","","",""
"1317","","","","","","","482.9778747558594","482.9778747558594","482.9778747558594"
"1328","148.0251922607422","148.0251922607422","148.0251922607422","","","","","",""
"1344","","","","","","","685.51416015625","685.51416015625","685.51416015625"
"1353","75.76582336425781","75.76582336425781","75.76582336425781","","","","","",""
"1373","","","","","","","134.935546875","134.935546875","134.935546875"
"1380","92.25823974609375","92.25823974609375","92.25823974609375","","","","","",""
"1402","","","","","","","579.7548217773438","579.7548217773438","579.7548217773438"
"1404","164.21705627441406","164.21705627441406","164.21705627441406","","","","","",""
"1427","704.3645629882812","704.3645629882812","704.3645629882812","","","","","",""
"1428","","","","","","","63.43617630004883","63.43617630004883","63.43617630004883"
"1447","578.7008056640625","578.7008056640625","578.7008056640625","","","","","",""
"1450","","","","","","","600.2327270507812","600.2327270507812","600.2327270507812"
"1472","451.74530029296875","451.74530029296875","451.74530029296875","","","","","",""
"1476","","","","","","","345.8880615234375","345.8880615234375","345.8880615234375"
"1496","796.5726318359375","796.5726318359375","796.5726318359375","","","","","",""
"1499","","","","","","","224.2159423828125","224.2159423828125","224.2159423828125"
"1523","477.98779296875","477.98779296875","477.98779296875","","","","","",""
"1527","","","","","","","118.09185028076172","118.09185028076172","118.09185028076172"
"1545","607.0577392578125","607.0577392578125","607.0577392578125","","","","","",""
"1554","","","","","","","97.00387573242188","97.00387573242188","97.00387573242188"
"1571","704.5440673828125","704.5440673828125","704.5440673828125","","","","","",""
"1582","","","","","","","204.81781005859375","204.81781005859375","204.81781005859375"
"1591","420.5115966796875","420.5115966796875","420.5115966796875","","","","","",""
"1606","","","","","","","718.4522094726562","718.4522094726562","718.4522094726562"
"1635","","","","","","","175.5413818359375","175.5413818359375","175.5413818359375"
"1657","","","","","","","79.22819519042969","79.22819519042969","79.22819519042969"
"1681","","","","","","","293.3023681640625","293.3023681640625","293.3023681640625"
"1709","","","","","","","417.6701354980469","417.6701354980469","417.6701354980469"
"1734","","","","","","","420.5846862792969","420.5846862792969","420.5846862792969"
"1762","","","","","","","470.7046203613281","470.7046203613281","470.7046203613281"
"1784","","","","","","","127.3482666015625","127.3482666015625","127.3482666015625"
"1808","","","","","","","92.58488464355469","92.58488464355469","92.58488464355469"
"1832","","","","","","","595.714599609375","595.714599609375","595.714599609375"
"1853","","","","","","","431.24932861328125","431.24932861328125","431.24932861328125"
"1877","","","","","","","267.42950439453125","267.42950439453125","267.42950439453125"
"1902","","","","","","","608.9384155273438","608.9384155273438","608.9384155273438"
"1924","","","","","","","613.3014526367188","613.3014526367188","613.3014526367188"
"1944","","","","","","","398.25506591796875","398.25506591796875","398.25506591796875"
"1971","","","","","","","280.1836853027344","280.1836853027344","280.1836853027344"
"1993","","","","","","","521.1456909179688","521.1456909179688","521.1456909179688"
"2015","","","","","","","702.7799682617188","702.7799682617188","702.7799682617188"
"2037","","","","","","","160.73431396484375","160.73431396484375","160.73431396484375"
"2060","","","","","","","695.7560424804688","695.7560424804688","695.7560424804688"
"2082","","","","","","","707.3206176757812","707.3206176757812","707.3206176757812"
"2107","","","","","","","177.9661865234375","177.9661865234375","177.9661865234375"
"2132","","","","","","","528.082275390625","528.082275390625","528.082275390625"