"Step","spring-microwave-46 - test/returns_stat/mean","spring-microwave-46 - test/returns_stat/mean__MIN","spring-microwave-46 - test/returns_stat/mean__MAX"
"0","23.860525131225586","23.860525131225586","23.860525131225586"
"29","14.474109649658203","14.474109649658203","14.474109649658203"
"56","19.988054275512695","19.988054275512695","19.988054275512695"
"87","14.772083282470703","14.772083282470703","14.772083282470703"
"118","17.670703887939453","17.670703887939453","17.670703887939453"
"146","36.95624923706055","36.95624923706055","36.95624923706055"
"175","62.13838195800781","62.13838195800781","62.13838195800781"
"200","153.9889373779297","153.9889373779297","153.9889373779297"
"225","52.956642150878906","52.956642150878906","52.956642150878906"
"253","43.38920211791992","43.38920211791992","43.38920211791992"
"275","278.6213073730469","278.6213073730469","278.6213073730469"
"300","110.79513549804688","110.79513549804688","110.79513549804688"
"328","133.5509490966797","133.5509490966797","133.5509490966797"
"355","55.5362548828125","55.5362548828125","55.5362548828125"
"383","232.15576171875","232.15576171875","232.15576171875"
"411","37.84209442138672","37.84209442138672","37.84209442138672"
"440","37.97340774536133","37.97340774536133","37.97340774536133"
"466","110.3857192993164","110.3857192993164","110.3857192993164"
"493","212.5264129638672","212.5264129638672","212.5264129638672"
"521","349.14373779296875","349.14373779296875","349.14373779296875"
"545","469.8155212402344","469.8155212402344","469.8155212402344"
"569","200.72840881347656","200.72840881347656","200.72840881347656"
"592","237.55355834960938","237.55355834960938","237.55355834960938"
"615","412.83062744140625","412.83062744140625","412.83062744140625"
"641","60.9130744934082","60.9130744934082","60.9130744934082"
"666","40.031883239746094","40.031883239746094","40.031883239746094"
"691","475.400146484375","475.400146484375","475.400146484375"
"715","77.90983581542969","77.90983581542969","77.90983581542969"
"741","63.73457336425781","63.73457336425781","63.73457336425781"
"766","235.70858764648438","235.70858764648438","235.70858764648438"
"791","31.053850173950195","31.053850173950195","31.053850173950195"
"817","69.12176513671875","69.12176513671875","69.12176513671875"
"843","49.41853332519531","49.41853332519531","49.41853332519531"
"868","294.0243835449219","294.0243835449219","294.0243835449219"
"894","756.7659912109375","756.7659912109375","756.7659912109375"
"916","278.48272705078125","278.48272705078125","278.48272705078125"
"941","136.7147674560547","136.7147674560547","136.7147674560547"
"969","197.3359832763672","197.3359832763672","197.3359832763672"
"988","313.4352722167969","313.4352722167969","313.4352722167969"
"1009","338.7566833496094","338.7566833496094","338.7566833496094"
"1031","600.367919921875","600.367919921875","600.367919921875"
"1053","457.15679931640625","457.15679931640625","457.15679931640625"
"1074","510.61834716796875","510.61834716796875","510.61834716796875"
"1099","319.0389709472656","319.0389709472656","319.0389709472656"
"1124","122.74894714355469","122.74894714355469","122.74894714355469"
"1148","356.7312927246094","356.7312927246094","356.7312927246094"
"1172","246.7554931640625","246.7554931640625","246.7554931640625"
"1197","68.67913055419922","68.67913055419922","68.67913055419922"
"1222","309.7896423339844","309.7896423339844","309.7896423339844"
"1246","580.2404174804688","580.2404174804688","580.2404174804688"
"1272","80.6512222290039","80.6512222290039","80.6512222290039"
"1298","349.3636779785156","349.3636779785156","349.3636779785156"
"1324","212.9495391845703","212.9495391845703","212.9495391845703"
"1351","50.911827087402344","50.911827087402344","50.911827087402344"
"1375","174.85250854492188","174.85250854492188","174.85250854492188"
"1403","525.0478515625","525.0478515625","525.0478515625"
"1428","90.75096130371094","90.75096130371094","90.75096130371094"
"1452","84.85640716552734","84.85640716552734","84.85640716552734"
"1478","156.5840301513672","156.5840301513672","156.5840301513672"
"1501","103.88275146484375","103.88275146484375","103.88275146484375"
"1528","93.62767791748047","93.62767791748047","93.62767791748047"
"1556","581.4916381835938","581.4916381835938","581.4916381835938"
"1579","114.51643371582031","114.51643371582031","114.51643371582031"
"1604","62.808109283447266","62.808109283447266","62.808109283447266"
"1630","58.43732833862305","58.43732833862305","58.43732833862305"
"1652","337.54541015625","337.54541015625","337.54541015625"
"1673","444.7762756347656","444.7762756347656","444.7762756347656"
"1696","550.107177734375","550.107177734375","550.107177734375"
"1720","524.6997680664062","524.6997680664062","524.6997680664062"
"1745","384.35040283203125","384.35040283203125","384.35040283203125"
"1768","439.1889953613281","439.1889953613281","439.1889953613281"
"1793","298.0617370605469","298.0617370605469","298.0617370605469"
"1818","311.5594482421875","311.5594482421875","311.5594482421875"
"1845","415.7569580078125","415.7569580078125","415.7569580078125"
"1872","134.3314971923828","134.3314971923828","134.3314971923828"
"1897","86.51429748535156","86.51429748535156","86.51429748535156"
"1922","267.5616760253906","267.5616760253906","267.5616760253906"
"1950","96.97588348388672","96.97588348388672","96.97588348388672"
"1977","76.13954162597656","76.13954162597656","76.13954162597656"
"2003","88.25933837890625","88.25933837890625","88.25933837890625"
"2031","156.3988800048828","156.3988800048828","156.3988800048828"
"2056","239.97454833984375","239.97454833984375","239.97454833984375"
"2085","61.7420654296875","61.7420654296875","61.7420654296875"
"2106","496.86468505859375","496.86468505859375","496.86468505859375"
"2132","489.75653076171875","489.75653076171875","489.75653076171875"