"Step","feasible-sponge-20 - test/returns_stat/mean","feasible-sponge-20 - test/returns_stat/mean__MIN","feasible-sponge-20 - test/returns_stat/mean__MAX","frosty-dawn-19 - test/returns_stat/mean","frosty-dawn-19 - test/returns_stat/mean__MIN","frosty-dawn-19 - test/returns_stat/mean__MAX"
"0","32.868778228759766","32.868778228759766","32.868778228759766","34.12400817871094","34.12400817871094","34.12400817871094"
"30","34.37443161010742","34.37443161010742","34.37443161010742","38.95735549926758","38.95735549926758","38.95735549926758"
"61","32.980735778808594","32.980735778808594","32.980735778808594","","",""
"63","","","","37.437713623046875","37.437713623046875","37.437713623046875"
"91","34.803436279296875","34.803436279296875","34.803436279296875","","",""
"93","","","","36.35377502441406","36.35377502441406","36.35377502441406"
"122","41.630393981933594","41.630393981933594","41.630393981933594","","",""
"123","","","","44.61532211303711","44.61532211303711","44.61532211303711"
"152","39.72428894042969","39.72428894042969","39.72428894042969","","",""
"153","","","","46.45514678955078","46.45514678955078","46.45514678955078"
"182","31.59270668029785","31.59270668029785","31.59270668029785","","",""
"184","","","","44.35445785522461","44.35445785522461","44.35445785522461"
"213","45.48891067504883","45.48891067504883","45.48891067504883","50.327613830566406","50.327613830566406","50.327613830566406"
"242","","","","50.10889434814453","50.10889434814453","50.10889434814453"
"244","56.364810943603516","56.364810943603516","56.364810943603516","","",""
"273","51.583274841308594","51.583274841308594","51.583274841308594","56.11369323730469","56.11369323730469","56.11369323730469"
"302","","","","47.240787506103516","47.240787506103516","47.240787506103516"
"303","89.69679260253906","89.69679260253906","89.69679260253906","","",""
"332","","","","59.5147819519043","59.5147819519043","59.5147819519043"
"333","63.83462905883789","63.83462905883789","63.83462905883789","","",""
"361","","","","83.28433227539062","83.28433227539062","83.28433227539062"
"363","146.5587615966797","146.5587615966797","146.5587615966797","","",""
"390","","","","63.954341888427734","63.954341888427734","63.954341888427734"
"391","59.825782775878906","59.825782775878906","59.825782775878906","","",""
"419","","","","65.08539581298828","65.08539581298828","65.08539581298828"
"421","274.01531982421875","274.01531982421875","274.01531982421875","","",""
"448","","","","102.31770324707031","102.31770324707031","102.31770324707031"
"449","217.8684844970703","217.8684844970703","217.8684844970703","","",""
"478","105.07294464111328","105.07294464111328","105.07294464111328","153.74295043945312","153.74295043945312","153.74295043945312"
"506","","","","210.966064453125","210.966064453125","210.966064453125"
"508","192.27432250976562","192.27432250976562","192.27432250976562","","",""
"535","","","","79.92436981201172","79.92436981201172","79.92436981201172"
"537","80.55748748779297","80.55748748779297","80.55748748779297","","",""
"565","192.55633544921875","192.55633544921875","192.55633544921875","61.34928894042969","61.34928894042969","61.34928894042969"
"593","","","","128.66018676757812","128.66018676757812","128.66018676757812"
"595","52.01262283325195","52.01262283325195","52.01262283325195","","",""
"621","","","","197.50042724609375","197.50042724609375","197.50042724609375"
"625","184.66355895996094","184.66355895996094","184.66355895996094","","",""
"650","","","","141.8572540283203","141.8572540283203","141.8572540283203"
"654","122.86150360107422","122.86150360107422","122.86150360107422","","",""
"679","","","","250.96755981445312","250.96755981445312","250.96755981445312"
"682","152.27012634277344","152.27012634277344","152.27012634277344","","",""
"708","","","","205.4870147705078","205.4870147705078","205.4870147705078"
"711","110.51974487304688","110.51974487304688","110.51974487304688","","",""
"737","","","","97.5108871459961","97.5108871459961","97.5108871459961"
"740","61.6934814453125","61.6934814453125","61.6934814453125","","",""
"766","","","","78.47875213623047","78.47875213623047","78.47875213623047"
"770","248.0059814453125","248.0059814453125","248.0059814453125","","",""
"795","","","","197.54452514648438","197.54452514648438","197.54452514648438"
"799","92.09100341796875","92.09100341796875","92.09100341796875","","",""
"824","","","","268.1137390136719","268.1137390136719","268.1137390136719"
"828","133.9874267578125","133.9874267578125","133.9874267578125","","",""
"851","","","","63.421241760253906","63.421241760253906","63.421241760253906"
"857","179.35520935058594","179.35520935058594","179.35520935058594","","",""
"879","","","","243.74081420898438","243.74081420898438","243.74081420898438"
"885","104.72233581542969","104.72233581542969","104.72233581542969","","",""
"906","","","","182.97364807128906","182.97364807128906","182.97364807128906"
"914","117.95207977294922","117.95207977294922","117.95207977294922","","",""
"935","","","","261.99932861328125","261.99932861328125","261.99932861328125"
"943","111.26213836669922","111.26213836669922","111.26213836669922","","",""
"963","","","","265.4786071777344","265.4786071777344","265.4786071777344"
"972","165.54461669921875","165.54461669921875","165.54461669921875","","",""
"990","","","","402.6300048828125","402.6300048828125","402.6300048828125"
"1001","154.91049194335938","154.91049194335938","154.91049194335938","","",""
"1018","","","","200.515625","200.515625","200.515625"
"1031","213.50079345703125","213.50079345703125","213.50079345703125","","",""
"1045","","","","130.0528106689453","130.0528106689453","130.0528106689453"
"1059","95.69593048095703","95.69593048095703","95.69593048095703","","",""
"1075","","","","174.44927978515625","174.44927978515625","174.44927978515625"
"1089","113.4480209350586","113.4480209350586","113.4480209350586","","",""
"1103","","","","213.87416076660156","213.87416076660156","213.87416076660156"
"1118","249.65945434570312","249.65945434570312","249.65945434570312","","",""
"1131","","","","212.87448120117188","212.87448120117188","212.87448120117188"
"1147","100.55828094482422","100.55828094482422","100.55828094482422","","",""
"1162","","","","110.02708435058594","110.02708435058594","110.02708435058594"
"1175","106.88957214355469","106.88957214355469","106.88957214355469","","",""
"1190","","","","96.27789306640625","96.27789306640625","96.27789306640625"
"1203","110.27373504638672","110.27373504638672","110.27373504638672","","",""
"1219","","","","186.55931091308594","186.55931091308594","186.55931091308594"
"1231","162.7303924560547","162.7303924560547","162.7303924560547","","",""
"1249","","","","156.47821044921875","156.47821044921875","156.47821044921875"
"1261","92.29588317871094","92.29588317871094","92.29588317871094","","",""
"1276","","","","256.34942626953125","256.34942626953125","256.34942626953125"
"1289","71.20021057128906","71.20021057128906","71.20021057128906","","",""
"1305","","","","122.05481719970703","122.05481719970703","122.05481719970703"
"1317","237.03811645507812","237.03811645507812","237.03811645507812","","",""
"1332","","","","243.9137725830078","243.9137725830078","243.9137725830078"
"1345","156.81387329101562","156.81387329101562","156.81387329101562","","",""
"1363","","","","143.96934509277344","143.96934509277344","143.96934509277344"
"1374","210.60206604003906","210.60206604003906","210.60206604003906","","",""
"1391","","","","266.7744140625","266.7744140625","266.7744140625"
"1403","101.98133087158203","101.98133087158203","101.98133087158203","","",""
"1420","","","","207.3759307861328","207.3759307861328","207.3759307861328"
"1448","","","","120.3165054321289","120.3165054321289","120.3165054321289"